timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
2965199, 0.278, -0.158, -0.218, -0.19, 0.064, 0.114, 1
2965219, 0.148, 0.024, -0.221, -0.127, -0.077, 0.078, 1
2965239, -0.217, -0.008, -0.265, -0.07, -0.017, 0.094, 1
2965259, -0.142, -0.06, -0.277, -0.064, 0.117, 0.105, 1
2965279, -0.006, -0.055, -0.259, -0.055, 0.147, 0.079, 1
2965299, 0.08, -0.105, -0.241, -0.06, 0.072, 0.072, 1
2965319, 0.301, -0.167, -0.241, -0.136, -0.107, 0.064, 1
2965339, -0.358, -0.054, -0.068, -0.121, -0.064, 0.055, 1
2965359, -0.318, 0.212, 0.059, 0.001, 0.111, 0.071, 1
2965379, 0.021, -0.148, -0.152, 0.004, 0.226, 0.138, 1
2965399, 0.355, -0.41, -0.336, -0.128, 0.165, 0.14, 1
2965419, 0.151, -0.122, -0.219, -0.274, -0.003, 0.087, 1
2965439, -0.311, 0.314, 0.095, -0.204, -0.081, 0.069, 1
2965459, -0.17, 0.206, 0.184, -0.031, 0.051, 0.098, 1
2965479, 0.081, -0.028, 0.068, 0.035, 0.106, 0.115, 1
2965499, 0.164, -0.083, -0.107, 0.024, 0.07, 0.089, 1
2965519, 0.134, -0.29, -0.528, -0.017, 0.031, 0.062, 1
2965539, 0.121, -0.284, -0.732, -0.153, -0.08, 0.059, 1
2965559, -0.142, -0.088, -0.554, -0.293, -0.048, 0.031, 1
2965579, -0.297, 0.121, -0.243, -0.339, 0.108, 0.004, 1
2965599, 0.071, 0.337, 0.029, -0.273, 0.214, 0.003, 1
2965619, -0.267, 0.294, 0.155, -0.066, 0.15, 0.001, 1
2965639, 0.048, -0.027, -0.135, 0.014, 0.128, 0.058, 1
2965659, 0.072, -0.291, -0.359, -0.064, 0.08, 0.086, 1
2965679, 0.044, -0.105, -0.33, -0.135, 0.048, 0.075, 1
2965699, -0.126, -0.025, -0.33, -0.13, 0.122, 0.065, 1
2965719, -0.281, 0.09, -0.229, -0.036, 0.329, 0.026, 1
2965739, -0.09, -0.052, -0.223, 0.091, 0.604, 0.042, 1
2965759, 0.347, -0.376, -0.373, 0.081, 0.62, 0.065, 1
2965779, 0.163, -0.256, -0.326, -0.094, 0.441, 0.037, 1
2965799, -0.387, 0.216, -0.144, -0.23, 0.365, 0.015, 1
2965819, -1.449, 1.395, 0.169, 0.345, 1.107, -0.017, 1
2965839, -2.816, 2.255, 0.085, 1.439, 2.483, 0.175, 1
2965859, -2.342, 2.017, 0.238, 2.493, 3.754, 0.419, 1
2965879, -0.161, 0.699, -0.208, 2.943, 4.123, 0.417, 1
2965899, 0.5, 0.313, -0.565, 2.941, 4.081, 0.254, 1
2965919, -0.431, 0.202, -0.678, 2.887, 4.325, 0.183, 1
2965939, -0.188, 1.216, -0.475, 2.875, 4.555, 0.165, 1
2965959, -1.717, 2.604, 0.069, 3.315, 5.244, 0.063, 1
2965979, -1.555, 3.599, 0.55, 4.05, 5.98, 0.134, 1
2965999, -0.46, 3.536, 0.515, 4.483, 6.336, 0.196, 1
2966019, 0.681, 3.141, -0.426, 4.272, 6.053, 0.188, 1
2966039, 1.456, 3.038, -1.179, 3.699, 5.346, 0.086, 1
2966059, 2.158, 2.701, -1.028, 2.772, 4.036, -0.03, 1
2966079, 1.714, 2.679, -1.078, 1.786, 2.819, -0.183, 1
2966099, 1.692, 2.968, -0.865, 0.87, 1.477, -0.188, 1
2966119, 0.47, 4.09, -0.26, 0.439, 0.586, -0.202, 1
2966139, -1.238, 4.743, -0.4, 0.513, 0.635, -0.08, 1
2966159, -0.62, 4.486, -0.728, 0.557, 0.62, 0.093, 1
2966179, 0.371, 3.639, -0.793, 0.222, 0.175, 0.088, 1
2966199, 0.152, 3.636, -0.528, -0.108, -0.149, -0.008, 1
2966219, 0.002, 3.767, -0.384, -0.358, -0.399, 0.032, 1
2966239, 0.261, 4.107, 0.0, -0.504, -0.751, 0.048, 1
2966259, -0.15, 4.094, 0.059, -0.589, -0.79, 0.021, 1
2966279, 0.271, 3.987, -0.027, -0.739, -0.815, 0.031, 1
2966299, 1.295, 3.472, 0.189, -1.394, -1.216, -0.139, 1
2966319, 2.262, 3.384, 0.575, -1.886, -2.409, -0.254, 1
2966339, 1.51, 3.847, 0.87, -2.4, -3.393, -0.345, 1
2966359, 0.984, 3.896, 1.019, -2.808, -4.091, -0.361, 1
2966379, 0.396, 3.586, 1.235, -3.272, -4.662, -0.337, 1
2966399, -0.03, 2.839, 1.392, -3.711, -5.089, -0.3, 1
2966419, -0.135, 2.226, 1.864, -3.996, -5.301, -0.283, 1
2966439, -0.316, 1.537, 2.314, -4.092, -5.512, -0.39, 1
2966459, -1.076, 1.152, 2.495, -4.214, -5.659, -0.408, 1
2966479, -0.86, 0.965, 3.244, -4.236, -5.682, -0.295, 1
2966499, -2.329, 1.298, 3.572, -3.891, -5.357, -0.395, 1
2966519, -2.929, 1.499, 2.95, -2.944, -4.149, -0.352, 1
2966539, -2.207, 0.935, 1.363, -1.615, -2.741, -0.117, 1
2966559, -0.372, -0.419, 0.062, -0.604, -1.752, 0.021, 1
2966579, 1.345, -1.261, -0.768, -0.454, -1.615, 0.15, 1
2966599, 1.318, -1.251, -0.632, -0.648, -1.932, -0.083, 1
2966619, -0.189, -0.186, -0.843, -0.711, -2.092, -0.283, 1
2966639, -0.862, 0.197, -1.516, -0.371, -1.51, -0.206, 1
2966659, -0.655, 0.253, -1.795, 0.029, -0.734, 0.048, 1
2966679, 0.413, -0.005, -1.632, 0.302, -0.251, 0.232, 1
2966699, 0.78, -0.308, -1.283, 0.409, -0.252, 0.244, 1
2966719, 0.488, -0.263, -1.248, 0.322, -0.28, 0.259, 1
2966739, 0.35, -0.206, -1.096, 0.161, -0.24, 0.321, 1
2966759, 0.415, -0.04, -0.766, 0.0, -0.204, 0.325, 1
2966779, 0.161, 0.183, -0.301, -0.086, -0.142, 0.29, 1
2966799, 0.236, 0.205, -0.104, -0.124, -0.122, 0.319, 1
2966819, 0.189, 0.273, 0.062, 0.06, -0.155, 0.235, 1
2966839, 0.072, 0.079, -0.046, 0.129, -0.096, 0.224, 1
2966859, 0.077, -0.152, -0.267, 0.119, 0.003, 0.213, 1
2966879, 0.328, -0.204, -0.336, 0.16, -0.028, 0.142, 1
2966899, 0.02, -0.218, -0.487, 0.286, -0.081, 0.119, 1
2966919, -0.137, -0.38, -0.64, 0.304, 0.048, 0.139, 1
2966939, -0.097, -0.508, -0.865, 0.204, 0.149, 0.147, 1
2966959, -0.008, -0.442, -0.874, -0.014, 0.153, 0.143, 1
2966979, -0.155, -0.297, -0.773, -0.274, 0.205, 0.125, 1
2966999, -0.141, 0.025, -0.624, -0.414, 0.251, 0.076, 1
2967019, -0.138, -0.115, -0.262, -0.417, 0.225, 0.022, 1
2967039, -0.197, 0.486, -0.411, -0.32, 0.193, 0.058, 1
2967059, -0.064, 0.328, -0.366, -0.278, 0.15, 0.041, 1
2967079, 0.049, -0.034, -0.133, -0.288, 0.041, 0.054, 1
2967099, 0.057, -0.034, -0.045, -0.201, -0.12, 0.014, 1
2967119, -0.01, -0.082, 0.03, -0.029, -0.21, 0.02, 1
2967139, -0.016, -0.455, -0.037, -0.004, -0.167, 0.077, 1
2967159, 0.064, -0.862, -0.215, -0.134, -0.062, 0.091, 1
2967179, 0.15, -0.968, -0.179, -0.251, 0.012, 0.072, 1
2967199, 0.247, -0.61, 0.05, -0.199, 0.008, 0.04, 1
2967219, -0.041, -0.248, 0.184, -0.001, 0.012, 0.04, 1
2967239, 0.159, -0.343, 0.35, 0.144, -0.031, 0.052, 1
2967259, 0.074, -0.37, 0.185, 0.059, -0.032, 0.084, 1
2967279, -0.072, -0.439, 0.042, -0.215, 0.158, 0.111, 1
2967299, 0.094, 0.041, 0.146, -0.282, 0.186, 0.092, 1
2967319, -0.061, 0.076, 0.357, -0.147, 0.084, 0.084, 1
2967339, -0.139, 0.021, 0.205, -0.064, 0.166, 0.131, 1
2967359, 0.107, -0.2, -0.004, -0.122, 0.225, 0.154, 1
2967379, 0.018, -0.225, -0.284, -0.326, 0.168, 0.13, 1
2967399, -0.09, -0.105, -0.37, -0.516, 0.139, 0.128, 1
2967419, 0.032, 0.174, -0.028, -0.405, 0.0, 0.091, 1
2967439, -0.195, 0.156, -0.102, -0.162, -0.099, 0.074, 1
2967459, -0.298, -0.207, -0.391, 0.04, 0.009, 0.075, 1
2967479, 0.181, -0.444, -0.519, 0.001, 0.139, 0.07, 1
2967499, 0.316, -0.419, -0.263, -0.108, 0.036, 0.029, 1
2967519, 0.006, -0.062, -0.129, -0.153, -0.073, 0.006, 1
2967539, -0.169, -0.05, -0.071, -0.063, -0.047, 0.035, 1
2967559, 0.063, -0.207, -0.216, -0.045, 0.044, 0.08, 1
2967579, 0.074, -0.048, -0.117, -0.039, 0.021, 0.057, 1
2967599, -0.048, -0.029, -0.007, 0.012, 0.023, 0.043, 1
2967619, 0.007, -0.046, 0.033, -0.003, 0.075, 0.058, 1
2967639, 0.02, -0.021, -0.003, -0.057, 0.048, 0.056, 1
2967659, 0.008, 0.024, 0.116, -0.007, -0.062, 0.054, 1
2967679, -0.071, -0.081, -0.182, -0.032, -0.037, 0.081, 1
2967699, 0.068, -0.182, -0.257, -0.101, 0.018, 0.076, 1
2967719, 0.219, 0.115, 0.005, -0.13, 0.006, 0.045, 1
2967739, -0.066, 0.059, 0.016, -0.02, -0.075, 0.041, 1
2967759, 0.035, -0.009, -0.198, 0.011, -0.028, 0.054, 1
2967779, 0.088, 0.006, -0.183, 0.01, -0.069, 0.043, 1
2967799, -0.032, -0.105, -0.248, -0.023, -0.079, 0.059, 1
2967819, -0.122, -0.191, -0.333, -0.108, 0.04, 0.102, 1
2967839, -0.015, -0.078, -0.342, -0.177, 0.167, 0.085, 1
2967859, 0.32, 0.367, 0.185, 0.008, 0.012, -0.004, 1
2967879, -0.104, 0.24, 0.116, 0.067, -0.058, 0.097, 1
2967899, -0.241, -0.206, -0.803, -0.153, 0.263, 0.214, 1
2967919, 0.643, 0.621, -1.076, -0.175, 0.396, 0.047, 1
2967939, 0.714, 1.496, -0.633, 0.041, 0.368, -0.175, 1
2967959, 2.33, 4.356, -1.688, 0.455, 0.334, -0.309, 0
2967979, 1.144, 1.709, -2.87, 0.227, 0.078, -0.331, 0
2967999, 1.285, 0.858, -3.415, -0.384, -0.104, -0.387, 0
2968019, 0.255, 1.254, -2.964, -0.752, -0.016, -0.512, 0
2968039, 0.385, 3.681, -1.82, -0.491, 0.166, -0.616, 0
2968059, 0.232, 3.984, -1.776, -0.275, 0.44, -0.593, 0
2968079, -0.604, 3.822, -1.944, -0.389, 0.618, -0.569, 0
2968099, 0.486, 2.401, -3.454, -1.308, 0.084, -0.459, 0
2968119, -0.15, 3.957, -2.042, -2.039, -0.67, -0.41, 0
2968139, -2.333, 5.386, -0.082, -1.61, -0.54, -0.058, 0
2968159, -2.734, 4.404, 0.893, -0.613, 0.004, 0.378, 0
2968179, -2.074, 2.595, 1.16, 0.274, 0.756, 0.615, 0
2968199, 2.002, -1.77, -0.477, -0.268, 0.03, 0.625, 0
2968219, 1.833, -3.161, 0.118, -1.455, -1.459, 0.476, 0
2968239, -1.703, -1.332, 2.041, -1.232, -1.377, 0.367, 0
2968259, -3.118, -0.929, 3.151, 0.291, -0.015, 0.786, 0
2968279, 1.0, -6.256, 0.897, 0.474, 0.379, 0.835, 0
2968299, 1.444, -6.865, 0.427, -0.215, -0.795, 0.485, 0
2968319, -1.972, -4.925, 0.473, -0.654, -1.508, 0.248, 0
2968339, -3.234, -4.451, 0.48, -0.161, -0.782, 0.409, 0
2968359, -0.595, -5.888, -0.091, 0.422, 0.141, 0.824, 0
2968379, 1.407, -7.113, -1.042, 0.414, 0.149, 0.797, 0
2968399, 1.062, -6.235, -0.902, 0.04, -0.063, 0.419, 0
2968419, -0.073, -4.624, -0.129, -0.138, -0.086, 0.207, 0
2968439, -0.246, -3.393, 1.201, -0.081, 0.111, 0.271, 0
2968459, -0.021, -3.351, 0.962, 0.007, 0.259, 0.254, 0
2968479, -0.243, -2.881, 0.615, -0.061, 0.084, 0.182, 0
2968499, -0.724, -2.454, 0.693, -0.113, -0.099, 0.107, 0
2968519, -0.634, -2.305, 0.388, -0.029, -0.064, 0.061, 0
2968539, -0.061, -1.885, 0.122, 0.036, 0.029, 0.069, 0
2968559, 0.091, -1.92, -0.781, 0.117, 0.007, 0.052, 0
2968579, -0.394, -1.836, -0.873, -0.012, 0.062, 0.036, 0
2968599, -0.272, -1.853, -0.145, -0.09, 0.227, 0.053, 0
2968619, 0.36, -2.722, 0.351, -0.177, 0.349, 0.15, 0
2968639, 0.49, -2.646, 0.048, -0.464, 0.389, 0.26, 1
2968659, -0.274, -1.621, -0.446, -0.454, 0.239, 0.385, 1
2968679, -0.232, -2.344, -1.064, -0.39, 0.1, 0.596, 1
2968699, 0.019, -3.471, -1.189, -0.196, -0.011, 0.59, 1
2968719, -0.135, -4.682, -1.498, -0.098, -0.119, 0.474, 1
2968739, -1.088, -3.834, -0.65, -0.091, 0.021, -0.051, 1
2968759, -0.957, -2.851, 0.093, 0.179, 0.444, 0.046, 1
2968779, 0.609, -2.828, 0.301, 0.276, 0.025, 0.051, 1
2968799, 0.352, -2.112, 0.392, 0.364, -0.59, -0.106, 1
2968819, -1.11, -1.331, 0.287, 0.433, -0.59, -0.132, 1
2968839, -1.207, -1.434, 0.242, 0.231, -0.157, -0.214, 1
2968859, 1.02, -1.305, 0.653, -0.165, -0.211, -0.489, 1
2968879, 0.659, -0.667, 0.978, -0.367, -0.318, -0.8, 1
2968899, -1.206, 0.659, 0.768, -0.083, -0.059, -0.898, 1
2968919, -1.651, 1.041, 0.18, 0.2, 0.25, -0.676, 1
2968939, -0.853, 0.683, -0.398, 0.108, 0.334, -0.497, 1
2968959, 0.204, 1.038, -0.538, -0.068, 0.138, -0.455, 1
2968979, -0.182, 0.707, -0.889, -0.029, -0.044, -0.494, 1
2968999, -1.718, 2.129, -0.941, 0.139, 0.434, -0.551, 1
2969019, -1.782, 2.789, -0.706, 0.224, 0.937, -0.405, 1
2969039, -1.361, 2.014, -0.697, 0.109, 0.828, -0.254, 1
2969059, -0.677, 1.793, -0.512, -0.045, 0.597, -0.033, 1
2969079, -0.679, 1.914, -0.139, -0.052, 0.478, 0.042, 1
2969099, -0.476, 1.897, 0.063, 0.096, 0.546, 0.056, 1
2969119, 0.113, 1.289, 0.02, 0.25, 0.487, 0.004, 1
2969139, -0.291, 1.281, -0.167, 0.363, 0.497, -0.062, 1
2969159, -0.458, 1.518, -0.247, 0.357, 0.519, -0.034, 1
2969179, -0.062, 1.424, -0.404, 0.318, 0.355, 0.034, 1
2969199, 0.095, 0.984, -0.871, 0.252, 0.15, 0.084, 1
2969219, -0.027, 1.043, -0.881, 0.136, 0.277, 0.1, 1
2969239, 0.024, 1.201, -0.559, 0.006, 0.532, 0.052, 1
2969259, 0.286, 1.034, 0.444, -0.083, 0.428, 0.074, 1
2969279, 0.37, 0.487, 0.49, -0.099, 0.216, 0.128, 1
2969299, -0.054, 0.071, 0.124, -0.117, -0.021, 0.161, 1
2969319, -0.388, -0.331, -0.396, -0.064, -0.113, 0.166, 1
2969339, -0.429, -0.778, -0.823, 0.003, -0.039, 0.197, 1
2969359, 0.04, -1.216, -1.001, -0.063, -0.067, 0.165, 1
2969379, -0.18, -1.224, -0.921, -0.154, -0.134, 0.138, 1
2969399, -0.096, -1.361, -0.833, -0.116, -0.117, 0.117, 1
2969419, 0.188, -1.604, -0.699, -0.108, -0.122, 0.076, 1
2969439, 0.339, -1.826, -0.548, -0.2, -0.075, 0.099, 1
2969459, 0.353, -1.712, -0.42, -0.27, -0.038, 0.034, 1
2969479, 0.446, -1.597, -0.196, -0.299, -0.023, -0.035, 1
2969499, 0.266, -1.11, 0.039, -0.241, -0.071, -0.119, 1
2969519, -0.071, -0.855, 0.073, -0.136, -0.039, -0.127, 1
2969539, 0.071, -0.853, 0.024, -0.081, 0.037, -0.056, 1
2969559, 0.217, -0.938, 0.042, -0.119, 0.016, -0.046, 1
2969579, -0.041, -0.85, 0.046, -0.151, -0.057, -0.023, 1
2969599, -0.146, -0.645, 0.17, -0.143, -0.075, -0.022, 1
2969619, -0.1, -0.527, 0.126, -0.033, -0.061, -0.06, 1
2969639, -0.371, -0.453, 0.035, 0.073, 0.021, -0.078, 1
2969659, -0.01, -0.343, 0.207, 0.182, 0.126, -0.097, 1
2969679, 0.14, -0.038, 0.272, 0.208, 0.075, -0.095, 1
2969699, 0.07, 0.254, -0.605, 0.225, -0.062, -0.056, 1
2969719, -0.459, 1.308, -1.455, -0.014, 0.086, -0.034, 1
2969739, 0.205, 2.303, -1.547, 0.006, 0.118, -0.185, 0
2969759, 0.353, 2.634, -2.23, 0.081, -0.149, -0.277, 0
2969779, -0.211, 2.535, -2.752, -0.061, -0.211, -0.369, 0
2969799, -0.699, 2.055, -2.883, -0.607, 0.089, -0.53, 0
2969819, -0.55, 3.123, -0.784, -0.883, 0.252, -0.576, 0
2969839, -0.757, 4.666, 0.82, -0.616, 0.29, -0.401, 0
2969859, -0.25, 4.921, 0.709, -0.119, 0.148, -0.164, 0
2969879, 0.909, 2.152, -0.735, -0.299, -0.483, 0.001, 0
2969899, -0.229, 1.531, -0.949, -0.577, -0.792, 0.133, 0
2969919, -0.705, 1.781, -1.059, -0.386, -0.535, 0.329, 0
2969939, 0.298, 0.286, -1.822, -0.161, -0.288, 0.467, 0
2969959, 1.56, -1.791, -2.544, -0.193, -0.2, 0.44, 0
2969979, 0.563, -2.087, -2.563, -0.237, 0.143, 0.277, 0
2969999, -0.21, -2.022, -1.7, -0.274, 0.583, 0.167, 0
2970019, -0.129, -2.306, -0.326, -0.422, 0.329, 0.183, 0
2970039, -0.381, -2.543, 0.872, -0.263, 0.11, 0.391, 0
2970059, 1.113, -4.501, 0.431, -0.092, 0.128, 0.389, 0
2970079, 1.661, -5.294, -0.274, -0.417, -0.17, 0.1, 0
2970099, -0.457, -3.19, 1.054, -0.529, -0.266, 0.003, 0
2970119, -2.456, -1.012, 2.432, -0.238, 0.092, 0.171, 0
2970139, -2.519, -1.296, 2.368, 0.127, 0.116, 0.473, 0
2970159, -0.769, -3.06, 1.091, -0.226, -0.874, 0.669, 0
2970179, -2.116, -2.989, 0.979, -0.386, -1.153, 0.687, 0
2970199, -3.061, -3.28, 0.748, -0.176, -0.428, 0.798, 0
2970219, -1.582, -3.622, 0.943, 0.136, 0.318, 0.802, 0
2970239, 0.677, -5.115, 0.413, 0.252, 0.136, 0.865, 0
2970259, 0.732, -4.945, -0.085, 0.073, -0.21, 0.764, 0
2970279, -0.05, -4.076, 0.314, -0.046, -0.149, 0.478, 0
2970299, 0.085, -3.636, 0.328, 0.022, 0.111, 0.423, 0
2970319, 0.781, -3.504, 0.191, 0.11, 0.233, 0.428, 0
2970339, 1.728, -3.7, -0.002, 0.08, 0.0, 0.26, 0
2970359, 0.618, -2.956, -0.319, -0.094, -0.312, 0.002, 0
2970379, -0.735, -1.964, -0.23, -0.155, -0.292, -0.087, 0
2970399, -0.399, -1.584, 0.0, -0.047, -0.013, -0.078, 0
2970419, -0.041, -1.364, -0.039, 0.028, 0.136, -0.125, 0
2970439, -0.276, -1.66, -0.184, 0.01, 0.069, -0.133, 0
2970459, -0.011, -1.448, -0.143, -0.116, -0.04, -0.087, 0
2970479, -0.219, -1.795, -0.455, -0.205, -0.031, -0.122, 0
2970499, -0.344, -2.518, -0.8, -0.318, 0.148, -0.058, 0
2970519, -0.187, -2.83, -0.641, -0.588, 0.424, 0.076, 1
2970539, 0.51, -2.43, -0.401, -0.818, 0.645, 0.232, 1
2970559, 1.385, -1.994, -0.762, -0.835, 0.404, 0.409, 1
2970579, 0.264, -2.548, -1.054, -0.656, -0.162, 0.286, 1
2970599, -1.889, -2.414, -0.942, -0.541, -0.475, 0.229, 1
2970619, -3.02, -2.219, -0.711, -0.254, 0.018, 0.195, 1
2970639, -0.278, -2.053, -0.016, -0.007, 0.755, 0.072, 1
2970659, 1.837, -2.544, 0.21, 0.051, 0.595, -0.062, 1
2970679, 1.574, -2.161, 0.115, -0.032, -0.277, -0.276, 1
2970699, -1.828, -1.144, 0.081, 0.08, -0.717, -0.431, 1
2970719, -2.731, -0.467, -0.085, 0.24, -0.058, -0.146, 1
2970739, -0.865, -1.018, 0.434, -0.003, 0.232, -0.229, 1
2970759, 1.344, -0.667, 1.142, -0.362, 0.08, -0.447, 1
2970779, 0.956, 0.102, 1.441, -0.379, -0.199, -0.643, 1
2970799, -0.767, 0.8, 1.036, -0.108, -0.2, -0.665, 1
2970819, -1.973, 0.721, 0.578, 0.001, 0.131, -0.581, 1
2970839, -1.612, 0.564, 0.499, -0.098, 0.348, -0.487, 1
2970859, -0.3, 0.111, 0.294, -0.045, 0.156, -0.332, 1
2970879, 0.523, 1.527, 0.328, 0.129, 0.039, -0.419, 1
2970899, -0.866, 2.211, 0.137, 0.445, 0.394, -0.417, 1
2970919, -1.253, 1.637, -0.564, 0.623, 0.685, -0.304, 1
2970939, -1.424, 1.701, -0.899, 0.5, 0.846, -0.166, 1
2970959, -0.972, 1.414, -0.52, 0.268, 0.773, 0.052, 1
2970979, 0.498, 0.943, 0.07, 0.177, 0.395, 0.133, 1
2970999, 0.57, 0.987, 0.337, 0.253, 0.364, 0.014, 1
2971019, 0.152, 1.253, -0.006, 0.419, 0.564, -0.108, 1
2971039, -0.107, 1.385, -0.402, 0.45, 0.713, -0.091, 1
2971059, -0.418, 1.499, -0.622, 0.282, 0.757, -0.037, 1
2971079, -0.233, 1.664, -0.409, 0.145, 0.574, 0.026, 1
2971099, -0.215, 1.901, -0.314, 0.141, 0.313, 0.08, 1
2971119, -0.407, 1.535, -0.555, 0.149, 0.202, 0.122, 1
2971139, -0.296, 0.937, -0.931, 0.089, 0.166, 0.111, 1
2971159, -0.336, 0.502, -1.094, 0.003, 0.148, 0.146, 1
